subject,chrom,method,recon_error,best_abs_corr,best_component,best_corr
356,hbo,PCA,0.283512937235009,0.16376876963835957,PC8,-0.16376876963835957
362,hbo,PCA,0.27596818083722524,0.2918875451551729,PC10,0.2918875451551729
364,hbo,PCA,0.23089711966094775,0.23383309867404553,PC8,0.23383309867404553
365,hbo,PCA,0.30507853624959613,0.16547442141961471,PC3,-0.16547442141961471
366,hbo,PCA,0.32310593473974186,0.21020471866340928,PC2,-0.21020471866340928
371,hbo,PCA,0.32456665390883577,0.1367427982015596,PC2,-0.1367427982015596
372,hbo,PCA,0.2794229671776325,0.2498244081731333,PC7,-0.2498244081731333
375,hbo,PCA,0.30588871654195365,0.2121377098873545,PC5,-0.2121377098873545
376,hbo,PCA,0.3213860922739281,0.2570046582283997,PC4,0.2570046582283997
378,hbo,PCA,0.2507851420506618,0.2922833588335016,PC6,0.2922833588335016
380,hbo,PCA,0.34609016167614104,0.2509918072767261,PC10,-0.2509918072767261
356,hbr,PCA,0.4236295572412353,0.12490946339241263,PC7,-0.12490946339241263
362,hbr,PCA,0.42571285224851385,0.1903807939814659,PC7,-0.1903807939814659
364,hbr,PCA,0.442235411450695,0.4030507441109258,PC2,0.4030507441109258
365,hbr,PCA,0.47429367457914123,0.15956817203024354,PC3,0.15956817203024354
366,hbr,PCA,0.4915173341311388,0.132214642004956,PC8,0.132214642004956
371,hbr,PCA,0.49373038136554237,0.09276777385711835,PC8,0.09276777385711835
372,hbr,PCA,0.4520440739337389,0.22755497446941017,PC5,-0.22755497446941017
375,hbr,PCA,0.4922969720157171,0.15570309867641827,PC6,0.15570309867641827
376,hbr,PCA,0.46002918229844614,0.22129552687028942,PC9,0.22129552687028942
378,hbr,PCA,0.4226083554125612,0.1473009367502186,PC5,0.1473009367502186
380,hbr,PCA,0.5818582236969345,0.282796533829364,PC9,-0.282796533829364
356,hbo,ICA,0.2835129372350089,0.1808276039729788,IC7,0.1808276039729788
362,hbo,ICA,0.2759681808372253,0.2607833827388717,IC8,0.2607833827388717
364,hbo,ICA,0.23089711966094772,0.3293355405305949,IC9,0.3293355405305949
365,hbo,ICA,0.30507853624959613,0.2272535659434417,IC4,0.2272535659434417
366,hbo,ICA,0.32310593473974186,0.22642712025552994,IC10,-0.22642712025552994
371,hbo,ICA,0.3245666539088358,0.12916026994231675,IC1,-0.12916026994231675
372,hbo,ICA,0.2794229671776325,0.31885030534607406,IC4,-0.31885030534607406
375,hbo,ICA,0.30588871654195365,0.2634647616355404,IC1,0.2634647616355404
376,hbo,ICA,0.32138609227392817,0.2353918428331631,IC1,-0.2353918428331631
378,hbo,ICA,0.2507851420506618,0.3346972976437407,IC5,-0.3346972976437407
380,hbo,ICA,0.3460901616761411,0.2638396898858953,IC1,-0.2638396898858953
356,hbr,ICA,0.4236295572412353,0.14596932923446562,IC8,-0.14596932923446562
362,hbr,ICA,0.42571285224851385,0.1916645829080778,IC9,0.1916645829080778
364,hbr,ICA,0.442235411450695,0.39481350101595636,IC4,0.39481350101595636
365,hbr,ICA,0.4742936745791413,0.1857256202333866,IC2,-0.1857256202333866
366,hbr,ICA,0.4915173341311388,0.1400960924855827,IC2,-0.1400960924855827
371,hbr,ICA,0.4937303813655424,0.09398553316947506,IC5,0.09398553316947506
372,hbr,ICA,0.4520440739337389,0.3596720599042602,IC6,0.3596720599042602
375,hbr,ICA,0.4922969720157171,0.2160525148823851,IC6,0.2160525148823851
376,hbr,ICA,0.46002918229844614,0.22779726370371833,IC1,-0.22779726370371833
378,hbr,ICA,0.4226083554125612,0.1772408750503963,IC7,-0.1772408750503963
380,hbr,ICA,0.5818582236969345,0.29741190691642333,IC10,-0.29741190691642333
